FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,BLR,Belarus,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,408.044,465.838,472.619,479.405,463.661,465.972,464.906,403.156,337.112,281.814,250.706,257.138,260.101,254.351,247.417,254.999,247.911,256.476,254.552,285.033,284.106,302.112,294.727,298.614,282.515,306.201,300.684,325.236,294.205,294.863,266.962,272.798,277.84,307.215,308.79,286.544,306.055,294.333,296.066
A,Annual,BLZ,Belize,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,1.053,0.993,0.935,0.936,0.995,0.993,1.209,0.989,0.757,1.089,1.433,1.624,1.361,1.358,1.295,1.602,1.431,2.21,2.173,2.261,2.413,2.657,2.571,2.522,2.43,2.602,2.993,2.824,2.731,2.847,3.38,2.948,3.063,3.338,3.32,3.67,3.674,4.083,3.647,3.846,2.854,2.975,,
A,Annual,BMU,Bermuda,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,2.338,2.025,2.147,2.27,2.215,2.147,2.022,2.915,3.182,3.845,2.729,2.391,1.868,2.17,2.091,2.145,2.213,2.207,2.207,2.207,2.412,2.447,2.575,2.569,2.66,2.801,3.164,3.675,3.515,2.766,3.257,2.105,2.276,2.287,2.961,2.49,3.17,3.126,3.234,3.232,2.957,2.985,,
A,Annual,BOL,Bolivia,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,21.848,25.067,21.826,22.676,21.862,19.681,19.98,19.647,22.57,25.571,27.038,26.605,28.728,28.343,31.658,36.279,35.537,39.856,36.969,41.528,43.588,37.301,40.686,54.696,56.726,55.573,61.17,65.725,67.461,66.488,67.463,69.828,82.855,83.945,84.832,88.928,92.096,90.779,93.881,93.078,78.069,85.307,,
A,Annual,BRA,Brazil,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,273.87,298.78,309.579,353.486,385.812,453.364,505.227,576.983,679.622,757.394,799.321,875.158,933.365,1032.268,1126.455,1153.122,1130.038,1188.162,1201.787,1279.698,1371.653,1446.851,1486.949,1532.864,1576.284,1565.992,1616.594,1639.306,1715.203,1798.857,1912.793,2025.349,2153.253,2229.139,2254.618,2356.764,2297.833,2350.13,2394.621,2511.056,2576.396,2647.395,2817.879,2939.233,2918.588,3185.037,3295.79,3392.321,3473.939,3564.418,3516.957,3432.165,3462.993,3475.968,3532.95,3394.368,3570.67,3732.201,3853.715
A,Annual,BRB,Barbados,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,4.281,4.455,4.517,4.765,4.591,5.074,5.322,5.067,4.771,5.193,5.502,5.563,5.876,5.727,5.431,5.637,5.061,6.093,6.189,6.479,6.965,6.97,7.016,7.091,7.144,7.199,7.216,6.884,8.118,7.651,7.373,7.738,7.273,7.386,6.423,6.833,6.971,6.609,7.019,7.053,6.057,6.475,,
A,Annual,BRN,Brunei Darussalam,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,24.127,24.946,27.215,21.388,18.898,22.553,14.944,23.866,20.674,24.289,20.552,16.425,16.061,15.265,14.671,18.146,16.899,18.073,16.346,19.286,19.664,22.357,26.107,27.009,29.992,33.787,52.07,54.662,56.141,37.245,42.423,43.577,42.361,39.397,44.308,48.96,51.142,51.35,53.408,52.705,55.351,45.994,,
A,Annual,BTN,Bhutan,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,0.04,0.145,0.149,0.147,0.152,0.164,0.799,2.754,3.477,3.538,3.73,3.798,3.858,3.873,4.14,4.421,4.847,4.884,4.776,4.825,4.973,5.49,6.073,6.764,6.51,7.376,11.948,14.93,15.43,16.001,17.133,16.67,16.197,17.942,17.178,17.99,18.514,18.395,17.634,20.915,20.543,21.603,,
A,Annual,BWA,Botswana,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,4.322,4.532,4.228,4.238,4.233,5.529,5.879,6.197,7.172,8.103,8.951,9.369,11.365,11.028,10.978,11.11,10.526,10.849,11.631,11.004,14.349,15.084,15.829,16.18,15.935,16.937,18.093,18.578,19.326,18.072,18.618,19.529,19.301,19.16,19.244,23.448,25.793,23.73,23.527,23.667,22.518,24.293,,
A,Annual,CAF,Central African Republic,OWID_CB_PRIMARY_ENERGY_CONSUMPTION,Primary energy consumption - Measured in terawatt-hours.,TWH_Y,Terawatt-hours per year,OWID_CB,CO2 and Greenhouse Gas Emissions,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,0.804,0.981,1.051,1.1,1.056,1.026,1.256,1.163,1.166,1.166,1.24,1.3,1.25,1.364,1.431,1.434,1.503,1.503,1.496,1.497,1.446,1.485,1.468,1.381,1.479,1.482,1.538,1.528,1.236,1.189,1.212,1.323,1.349,0.993,1.143,1.431,1.507,1.507,1.541,1.559,1.5,1.561,,
